"João Lopes Carneiro de Moura";"Montalegre, 1868";"?, 1944"
"Paiva Couceiro";"Lisboa, 1861";"Lisboa, 1944"
"Bernardino Machado";"Rio de Janeiro/Brasil, 1851";"Porto, 1944"
"Agostinho de Campos";"Porto, 1870";"Lisboa, 1944"
"Eugénio de Castro";"Coimbra, 1869";"Coimbra, 1944"
"Acácio de Paiva";"Leiria, 1863";"Lisboa, 1944"
"Garibaldi Falcão";"Fundão, 1864";"Lisboa, 1944"
"Alberto Bramão";"?, 1865";"Lisboa, 1944"
"João de Azevedo Coutinho";"Alter do Chão, 1865";"Lisboa, 1944"
"Propécia Afonso";"Benaulim/Salcete, 1882";"Goa, 1944"
"Luís Vicente Álvares";"Bardés/Índia Portuguesa, 1877";"Lourenço Marques, 1944"
"Silvério da Rocha e Cunha";"Aveiro, 1876";"Aveiro, 1944"
"Pedro Vitorino";"Porto, 1882";"Francelos, 1944"
"Francisco Newton de Macedo";"Lisboa, 1894";"Lisboa, 1944"
"João Eloy";"São Tomé, 1875";"Lisboa, 1944"
"Vergílio Correia";"Régua, 1888";"Coimbra, 1944"
"César Porto";"Lisboa, 1873";", 1944"
"Afonso de Dornelas";"Lisboa, 1880";"Lisboa, 1944"
"Henrique Perdigão";"Porto, 1888";"Baía/Brasil, 1944"
"Chagas Franco";"Tavira, 1878";"Lisboa, 1944"
"Espínola de Mendonça";"Ponta Delgada, 1891";"Ponta Delgada, 1944"
"José Maria de Oliveira Simões";"Leiria, 1857";"Lisboa, 1944"
"Emília Pomar de Sousa Machado";"Cacilhas, Almada, 1857";"Cacilhas, Almada, 1944"
"José Pedro Braga";"Hong Kong, 1871";"Macau, 1944"
"Manuel Ferreira Martins e Abreu";"Pinheiro/Mortágua, 1861";", 1944"
